city,name,price,area,address,distinct
almaty,3-комнатная квартира,300 000 〒,115 м²,Каблукова 264/1 — Аль-Фараби,Бостандыкский р-н
almaty,1-комнатная квартира,110 000 〒,45 м²,мкр Мамыр-1 29 — Момышулы/,Ауэзовский р-н
almaty,1-комнатная квартира,110 000 〒,39 м²,Мкр Коктем-1,null
almaty,2-комнатная квартира,160 000 〒,52 м²,Бабаева 34 — Розыбакиева,Бостандыкский р-н
almaty,4-комнатная квартира,700 000 〒,250 м²,мкр Коктобе 91 — Кок-тобе 2,Медеуский р-н
almaty,3-комнатная квартира,180 000 〒,90 м²,Брусиловского 159,null
almaty,3-комнатная квартира,250 000 〒,135 м²,Гоголя,Алмалинский р-н
almaty,3-комнатная квартира,180 000 〒,75 м²,мкр Орбита-3,Бостандыкский р-н
almaty,1-комнатная квартира,100 000 〒,70 м²,мкр Шугыла,Наурызбайский р-н
almaty,2-комнатная квартира,260 000 〒,65 м²,Наурызбай Батыра — Толе Би,Алмалинский р-н
almaty,2-комнатная квартира,290 000 〒,55 м²,ул. Наурызбай Батыра,Алмалинский р-н
almaty,3-комнатная квартира,150 000 〒,65 м²,мкр Орбита-2,Бостандыкский р-н
almaty,1-комнатная квартира,90 000 〒,28 м²,Казыбек би (Советская) 68 — Наурызбай батыра (Дзержинского),Алмалинский р-н
almaty,2-комнатная квартира,280 000 〒,60 м²,Курмангазы 97 — Сейфуллина,Алмалинский р-н
almaty,4-комнатная квартира,450 000 〒,170 м²,Панфилова 113 — Гоголя,Алмалинский р-н
almaty,4-комнатная квартира,600 000 〒,250 м²,мкр Коктобе,Медеуский р-н
almaty,1-комнатная квартира,90 000 〒,37.8 м²,Байзакова 234 — Шевченко,Алмалинский р-н
almaty,2-комнатная квартира,175 000 〒,58 м²,Мкр Самал -1 — Мендикулова,Медеуский р-н
almaty,2-комнатная квартира,150 000 〒,65 м²,мкр Аксай-1 2,Ауэзовский р-н
almaty,2-комнатная квартира,100 000 〒,45 м²,мкр Коктем-1,Бостандыкский р-н
almaty,2-комнатная квартира,120 000 〒,52 м²,мкр Тастак-2,Алмалинский р-н
almaty,1-комнатная квартира,120 000 〒,32.2 м²,мкр №3,Ауэзовский р-н
almaty,2-комнатная квартира,170 000 〒,55 м²,мкр Аксай-1,Ауэзовский р-н
almaty,1-комнатная квартира,115 000 〒,31 м²,мкр Орбита-2,Бостандыкский р-н
almaty,3-комнатная квартира,180 000 〒,80 м²,Абая 141 — Гагарина,Алмалинский р-н
almaty,2-комнатная квартира,110 000 〒,66 м²,Чайковского 21,Алмалинский р-н
almaty,3-комнатная квартира,240 000 〒,80 м²,Достык 248 — Клочкова,Медеуский р-н
almaty,3-комнатная квартира,280 000 〒,120 м²,Учительская 84 — Есенберлина,Медеуский р-н
almaty,3-комнатная квартира,160 000 〒,68 м²,Толе би 198 — Гагарина,Алмалинский р-н
almaty,1-комнатная квартира,130 000 〒,35 м²,Утепова — Гагарина,Бостандыкский р-н
almaty,2-комнатная квартира,330 000 〒,60 м²,Аль-Фараби 5к3А,null
almaty,2-комнатная квартира,200 000 〒,52 м²,Радостовца 255 — Утепова,Бостандыкский р-н
almaty,2-комнатная квартира,255 000 〒,55 м²,Наурызбай батыра 50 — Жибек Жолы,Алмалинский р-н
almaty,3-комнатная квартира,170 000 〒,50 м²,Жарокова 167,Бостандыкский р-н
almaty,3-комнатная квартира,190 000 〒,68 м²,Радостовца 267 — Журавлева,Бостандыкский р-н
almaty,3-комнатная квартира,350 000 〒,102 м²,мкр Самал-2 33А — Аль-Фараби и Мендикулова,Медеуский р-н
almaty,1-комнатная квартира,140 000 〒,40 м²,проспект Сакена Сейфуллина 534 — Курмангазы,Алмалинский р-н
almaty,2-комнатная квартира,180 000 〒,51 м²,мкр Карагайлы 54/23,Наурызбайский р-н
almaty,1-комнатная квартира,200 000 〒,35 м²,Абая 47 — Желтоксан,Медеуский р-н
almaty,1-комнатная квартира,200 000 〒,55 м²,Бухар Жырау 35,Бостандыкский р-н
almaty,2-комнатная квартира,145 000 〒,63 м²,Сейфуллина 546 — Сатпаева,Бостандыкский р-н
almaty,4-комнатная квартира,290 000 〒,106 м²,мкр Самал-2 91/1 — Жолдасбекова,Медеуский р-н
almaty,2-комнатная квартира,260 000 〒,90 м²,Сатпаева 9б — Сейфуллина,Бостандыкский р-н
almaty,2-комнатная квартира,200 000 〒,60 м²,Мустай Карима 13а — Саина -Жандосова,Ауэзовский р-н
almaty,2-комнатная квартира,90 000 〒,74 м²,Жуалы,Наурызбайский р-н
almaty,2-комнатная квартира,170 000 〒,63.6 м²,мкр Достык,Ауэзовский р-н
almaty,1-комнатная квартира,130 000 〒,45 м²,Огарёва 53/4 — Ахметова,Турксибский р-н
almaty,4-комнатная квартира,170 000 〒,100 м²,Майлина 28,Турксибский р-н
almaty,2-комнатная квартира,130 000 〒,45 м²,мкр Коктем-3 13,Бостандыкский р-н
almaty,3-комнатная квартира,310 000 〒,110 м²,мкр Орбита-3,Бостандыкский р-н
almaty,1-комнатная квартира,150 000 〒,38 м²,Токаша Бокина 3/1,Бостандыкский р-н
almaty,3-комнатная квартира,250 000 〒,135 м²,Гоголя 166 — Муканова,Алмалинский р-н
almaty,2-комнатная квартира,140 000 〒,45 м²,мкр №11,Ауэзовский р-н
almaty,3-комнатная квартира,170 000 〒,60 м²,Тимирязева 53 — Байзакова,Бостандыкский р-н
almaty,2-комнатная квартира,160 000 〒,43 м²,проспект Райымбека 481/1 — Саина,Алатауский р-н
almaty,3-комнатная квартира,220 000 〒,56 м²,Каблукова,Бостандыкский р-н
almaty,2-комнатная квартира,100 000 〒,63 м²,мкр Кокжиек 11,Жетысуский р-н
almaty,1-комнатная квартира,80 000 〒,40 м²,мкр Аксай-5 5а — Момышулы,Ауэзовский р-н
almaty,1-комнатная квартира,130 000 〒,50 м²,мкр Аксай-5,Ауэзовский р-н
almaty,1-комнатная квартира,90 000 〒,45 м²,мкр Жетысу-2,Ауэзовский р-н
almaty,3-комнатная квартира,200 000 〒,70 м²,Абая — Назарбаева,Медеуский р-н
almaty,3-комнатная квартира,300 000 〒,86 м²,Сатпаева 4а,Медеуский р-н
almaty,2-комнатная квартира,165 000 〒,48 м²,мкр Коктем-2,Бостандыкский р-н
almaty,3-комнатная квартира,600 000 〒,125 м²,Абылай Хана 92 — Кабанбай батыра,Алмалинский р-н
almaty,3-комнатная квартира,400 000 〒,140 м²,мкр Самал-2,Медеуский р-н
almaty,2-комнатная квартира,160 000 〒,47 м²,мкр Коктем-2,Бостандыкский р-н
almaty,2-комнатная квартира,200 000 〒,70 м²,мкр Орбита-3,Бостандыкский р-н
almaty,1-комнатная квартира,130 000 〒,35 м²,Барибаева 31 — Гоголя,Медеуский р-н
almaty,2-комнатная квартира,220 000 〒,82 м²,Аль-Фараби 95 — Ходжанова,Бостандыкский р-н
almaty,2-комнатная квартира,300 000 〒,75 м²,Аль-Фараби 21,null
almaty,1-комнатная квартира,150 000 〒,38 м²,Байтурсынова 96/1 — Абая,Бостандыкский р-н
almaty,4-комнатная квартира,320 000 〒,96 м²,Желтоксан 166 — проспект Абая,Алмалинский р-н
almaty,2-комнатная квартира,150 000 〒,51 м²,улица Мынбаева 12,Алмалинский р-н
almaty,4-комнатная квартира,280 000 〒,89 м²,Шагабутдинова 171 — Абая,Алмалинский р-н
almaty,3-комнатная квартира,150 000 〒,60 м²,мкр Алмагуль 286/1 — Гагарина,Бостандыкский р-н
almaty,5-комнатная квартира,750 000 〒,260 м²,Жамбыла 26 — Пушкина,Медеуский р-н
almaty,1-комнатная квартира,200 000 〒,48 м²,Б. Момышулы 25 — Жубанова,null
almaty,1-комнатная квартира,130 000 〒,40 м²,Жибек жолы — Кунаева,null
almaty,2-комнатная квартира,130 000 〒,40 м²,Казыбек Би 85,Алмалинский р-н
almaty,2-комнатная квартира,100 000 〒,43 м²,Абая 23 — Абылай хана,Алмалинский р-н
almaty,2-комнатная квартира,250 000 〒,70 м²,Розыбакиева 247к5 — Левитана,Бостандыкский р-н
almaty,2-комнатная квартира,550 000 〒,101.6 м²,Митина 4,Медеуский р-н
almaty,1-комнатная квартира,150 000 〒,36 м²,Казыбек Би — Байзакова,Алмалинский р-н
almaty,3-комнатная квартира,170 000 〒,69 м²,мкр Алмагуль,Бостандыкский р-н
almaty,2-комнатная квартира,400 000 〒,90 м²,Аль-фараби 21/9 — Желтоксан,Бостандыкский р-н
almaty,2-комнатная квартира,140 000 〒,50 м²,проспект Абая — Шагабутдинова,Алмалинский р-н
almaty,3-комнатная квартира,140 000 〒,56 м²,улица Макатаева — Наурызбай батыра,Алмалинский р-н
almaty,3-комнатная квартира,160 000 〒,66.7 м²,мкр №6,Ауэзовский р-н
almaty,2-комнатная квартира,150 000 〒,42 м²,Мустафина,Наурызбайский р-н
almaty,3-комнатная квартира,140 000 〒,64 м²,Гагарина 10 — Толе би,Алмалинский р-н
almaty,1-комнатная квартира,180 000 〒,50 м²,Достык 107 — Хаджимукана,Медеуский р-н
almaty,1-комнатная квартира,80 000 〒,32 м²,мкр Казахфильм,Бостандыкский р-н
almaty,3-комнатная квартира,150 000 〒,60 м²,мкр Рахат,Наурызбайский р-н
almaty,3-комнатная квартира,140 000 〒,64 м²,Гагарина 10 — Толе би,Алмалинский р-н
almaty,2-комнатная квартира,270 000 〒,62 м²,Самал-1 29,null
almaty,2-комнатная квартира,130 000 〒,42 м²,мкр №2,Ауэзовский р-н
almaty,3-комнатная квартира,250 000 〒,75 м²,Барибаева — Гоголя,Медеуский р-н
almaty,3-комнатная квартира,180 000 〒,60 м²,Шевченко 162Д — Переулок Мирзояна,Алмалинский р-н
almaty,2-комнатная квартира,247 000 〒,50 м²,мкр Самал-1 6 — Жолдасбекова,Медеуский р-н
almaty,3-комнатная квартира,290 000 〒,150 м²,Достык 160 — Жолдасбекова,Медеуский р-н
almaty,5-комнатная квартира,1 500 000 〒,402 м²,Курмангазы 141,Алмалинский р-н
almaty,2-комнатная квартира,310 000 〒,67 м²,Бухар Жырау 35 — Шагабутдинова,Бостандыкский р-н
almaty,2-комнатная квартира,120 000 〒,86 м²,мкр Шугыла,Наурызбайский р-н
almaty,3-комнатная квартира,150 000 〒,75 м²,Брусиловского 21,Алмалинский р-н
almaty,3-комнатная квартира,150 000 〒,62 м²,мкр Казахфильм,Бостандыкский р-н
almaty,1-комнатная квартира,120 000 〒,31 м²,мкр Орбита-3,Бостандыкский р-н
almaty,3-комнатная квартира,150 000 〒,70 м²,мкр Алгабас 41,Алатауский р-н
almaty,2-комнатная квартира,250 000 〒,60 м²,Курмангазы 168 — Гагарина,Бостандыкский р-н
almaty,2-комнатная квартира,300 000 〒,90 м²,Мкр. Мирас,Бостандыкский р-н
almaty,2-комнатная квартира,180 000 〒,60 м²,Навои 208 — Торайгырова,Бостандыкский р-н
almaty,2-комнатная квартира,230 000 〒,70 м²,Навои 208/6 — Торайгырова,Бостандыкский р-н
almaty,2-комнатная квартира,160 000 〒,60 м²,Брусиловского 167 — Шакарима,Алмалинский р-н
almaty,5-комнатная квартира,750 000 〒,305.7 м²,Жамбыла 26 — Пушкина,Медеуский р-н
almaty,2-комнатная квартира,250 000 〒,50 м²,Абая 130,Бостандыкский р-н
almaty,1-комнатная квартира,160 000 〒,42 м²,Самал-2,Медеуский р-н
almaty,1-комнатная квартира,125 000 〒,36 м²,проспект Желтоксан 177б — Сатпаева,Бостандыкский р-н
almaty,3-комнатная квартира,860 000 〒,140 м²,Назарбаева 223 — Аль Фараби,Медеуский р-н
almaty,1-комнатная квартира,85 000 〒,40.9 м²,мкр Аксай-4 9 — Саина Жубанова,Ауэзовский р-н
almaty,4-комнатная квартира,320 000 〒,96 м²,Желтоксан 166 — Курмангазы,Алмалинский р-н
almaty,1-комнатная квартира,100 000 〒,45 м²,мкр Шугыла 341/5,Наурызбайский р-н
almaty,2-комнатная квартира,160 000 〒,55 м²,проспект Достык — Курмангазы,Медеуский р-н
almaty,2-комнатная квартира,130 000 〒,60 м²,Сатпаева,Бостандыкский р-н
almaty,1-комнатная квартира,100 000 〒,40 м²,улица Мынбаева 49 — Ауэзова,Бостандыкский р-н
almaty,2-комнатная квартира,125 000 〒,45 м²,Наурызбай батыра 43 — Гоголя,null
almaty,4-комнатная квартира,1 200 000 〒,240 м²,Назарбаева 223 — Махатмы Ганди,Медеуский р-н
almaty,2-комнатная квартира,185 000 〒,52.2 м²,мкр Казахфильм 42,Бостандыкский р-н
almaty,2-комнатная квартира,165 000 〒,45 м²,мкр Коктем-2,Бостандыкский р-н
almaty,3-комнатная квартира,160 000 〒,58 м²,мкр №5,Ауэзовский р-н
almaty,3-комнатная квартира,125 000 〒,72 м²,Асыл Арман 20,null
almaty,3-комнатная квартира,160 000 〒,58 м²,мкр №5,Ауэзовский р-н
almaty,2-комнатная квартира,160 000 〒,67 м²,Муратбаева 62 — Гоголя,Алмалинский р-н
almaty,3-комнатная квартира,240 000 〒,85 м²,Гагарина — Могилёвского,null
almaty,2-комнатная квартира,130 000 〒,47 м²,Толе би 61 — Байтурсынова,Алмалинский р-н
almaty,2-комнатная квартира,120 000 〒,55 м²,мкр Тастак-1,Ауэзовский р-н
almaty,2-комнатная квартира,160 000 〒,50 м²,Мустафина,Бостандыкский р-н
almaty,2-комнатная квартира,250 000 〒,55 м²,Пушкина,Медеуский р-н
almaty,2-комнатная квартира,130 000 〒,51 м²,Богенбай Батыра 293 — проспект Гагарина,Алмалинский р-н
almaty,2-комнатная квартира,260 000 〒,57 м²,Достык — Жолдасбекова,Медеуский р-н
almaty,3-комнатная квартира,500 000 〒,125 м²,Сатпаева,Бостандыкский р-н
almaty,1-комнатная квартира,400 000 〒,36 м²,Гагарина 250 — Ходжанова,Бостандыкский р-н
almaty,1-комнатная квартира,110 000 〒,40 м²,Клочкова,Бостандыкский р-н
almaty,2-комнатная квартира,150 000 〒,55 м²,Зейна Шашкина 310 — проспект Аль-Фараби,Бостандыкский р-н
almaty,2-комнатная квартира,120 000 〒,55 м²,мкр Кайрат,Турксибский р-н
almaty,1-комнатная квартира,200 000 〒,45 м²,мкр Алмагуль,Бостандыкский р-н
almaty,1-комнатная квартира,85 000 〒,18 м²,мкр Коктем-1,Бостандыкский р-н
almaty,2-комнатная квартира,180 000 〒,55 м²,Карасай батыра 76 — Сейфулина,Алмалинский р-н
almaty,1-комнатная квартира,235 000 〒,50 м²,Розыбакиева — Утепова,Бостандыкский р-н
almaty,3-комнатная квартира,150 000 〒,64 м²,бульвар Бухар Жырау 75/1 — Жарокова,Бостандыкский р-н
almaty,1-комнатная квартира,140 000 〒,50 м²,Навои 7,Бостандыкский р-н
almaty,2-комнатная квартира,220 000 〒,70 м²,Абиша Кекилбайулы 97а,Бостандыкский р-н
almaty,4-комнатная квартира,299 999 〒,95 м²,проспект Достык — Омаровой,Медеуский р-н
almaty,3-комнатная квартира,550 000 〒,100 м²,Аскарова 8,Ауэзовский р-н
almaty,2-комнатная квартира,130 000 〒,57 м²,Абишева,Наурызбайский р-н
almaty,1-комнатная квартира,200 000 〒,45 м²,Розыбакиева 181а — Байкадамова,Бостандыкский р-н
almaty,1-комнатная квартира,210 000 〒,50 м²,Муканова 159 — Гоголя,Алмалинский р-н
almaty,2-комнатная квартира,120 000 〒,54 м²,мкр Самал-1 1 — Сатпаева - Достык проспект,Медеуский р-н
almaty,3-комнатная квартира,150 000 〒,55.6 м²,мкр Орбита-1 24,Бостандыкский р-н
almaty,1-комнатная квартира,60 000 〒,40 м²,Жас Канат,Турксибский р-н
almaty,2-комнатная квартира,85 000 〒,56 м²,мкр №8,Ауэзовский р-н
almaty,2-комнатная квартира,160 000 〒,75 м²,Валиханова — Богенбай батыра,Медеуский р-н
almaty,3-комнатная квартира,400 000 〒,135 м²,Розыбакиева 289/2 — Аль-Фараби,Бостандыкский р-н
almaty,2-комнатная квартира,250 000 〒,86 м²,Розыбакиева 289,Бостандыкский р-н
almaty,1-комнатная квартира,75 000 〒,41 м²,Асыл арман 14,null
almaty,4-комнатная квартира,600 000 〒,185 м²,Луганского 1 — Сатпаева,Медеуский р-н
almaty,3-комнатная квартира,320 000 〒,140 м²,Бухар жырау 27/5,Бостандыкский р-н
almaty,1-комнатная квартира,75 000 〒,38 м²,Туркебаева — Дуйсенова,Алмалинский р-н
almaty,2-комнатная квартира,135 000 〒,50 м²,Кабанбай батыра 199/А — Ауэзова,Алмалинский р-н
almaty,1-комнатная квартира,120 000 〒,30 м²,мкр Акбулак,Алатауский р-н
almaty,1-комнатная квартира,110 000 〒,33 м²,Попова 1 — Минусинская,Бостандыкский р-н
almaty,3-комнатная квартира,220 000 〒,77 м²,Сейфуллина 499/131 — Жибек жолы,Алмалинский р-н
almaty,3-комнатная квартира,220 000 〒,77 м²,Сейфуллина 499/131 — Жибек жолы,Алмалинский р-н
almaty,2-комнатная квартира,300 000 〒,93 м²,Аль-Фараби — Козыбаева,Медеуский р-н
almaty,1-комнатная квартира,130 000 〒,30 м²,мкр Самал-2,Медеуский р-н
almaty,2-комнатная квартира,35 000 〒,27 м²,мкр Калкаман-1 Абишева 1 — Ташкентской,Наурызбайский р-н
almaty,1-комнатная квартира,130 000 〒,45 м² помесячно,мкр Аксай-5 23 — Жубанова момышулы,Ауэзовский р-н
almaty,2-комнатная квартира,130 000 〒,63 м²,мкр Нуркент (Алгабас-1),Алатауский р-н
almaty,1-комнатная квартира,100 000 〒,33 м²,Богенбай батыра 300 — Радостовца,Алмалинский р-н
almaty,2-комнатная квартира,240 000 〒,70 м²,Навои 208/6,Бостандыкский р-н
almaty,1-комнатная квартира,85 000 〒,18 м²,Солодовникова 23 — Сатпаева,Бостандыкский р-н
almaty,1-комнатная квартира,75 000 〒,20 м²,Солодовникова 23 — Сатпаева,Бостандыкский р-н
almaty,2-комнатная квартира,140 000 〒,52 м²,Шевченко 129,Алмалинский р-н
almaty,2-комнатная квартира,130 000 〒,55 м²,мкр Акбулак,Алатауский р-н
almaty,1-комнатная квартира,40 000 〒,18 м²,мкр Альмерек 68а,Турксибский р-н
almaty,3-комнатная квартира,400 000 〒,110 м²,мкр Самал-3,Медеуский р-н
almaty,3-комнатная квартира,400 000 〒,130 м²,мкр Самал-2,Медеуский р-н
almaty,1-комнатная квартира,75 000 〒,42 м²,Толе Би 257 — Тлендиева,Алмалинский р-н
almaty,2-комнатная квартира,180 000 〒,73 м²,Достык 46 — Шевченко,Медеуский р-н
almaty,3-комнатная квартира,160 000 〒,62 м²,улица Байтурсынова — Макатаева,Алмалинский р-н
almaty,2-комнатная квартира,150 000 〒,55 м²,Ербола Сыпатаева 210,Бостандыкский р-н
almaty,2-комнатная квартира,140 000 〒,58.2 м²,Мкр Дарабоз 33,Алатауский р-н
almaty,1-комнатная квартира,70 000 〒,40 м²,мкр Аксай-2,Ауэзовский р-н
almaty,1-комнатная квартира,160 000 〒,61 м²,Рыскулбекова 28/2,Бостандыкский р-н
